dt	state	description_ru	description_en	temp
20140827	rain	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	12.6
20140826	rain	Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. 	Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. 	15.5
20140825	rain	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	16.5
20140824		 	 	18.4
20140823	rain	Ливневый(ые) дождь(и). 	Ливневый(ые) дождь(и). 	19.6
20140822	rain	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	17.2
20140821		 	 	19.7
20140820		 	 	20.9
20140819	rain	Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. 	Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. 	19.3
20140818		 	 	20.9
20140817	rain	Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. 	Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. 	20.4
20140816	rain	Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. 	Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. 	18.6
20140815	rain	Морось незамерзающая непрерывная слабая в срок наблюдения. 	Морось незамерзающая непрерывная слабая в срок наблюдения. 	21.0
20140814	rain	Дождь (незамерзающий) неливневый. 	Дождь (незамерзающий) неливневый. 	21.0
20140813		Состояние неба в общем не изменилось. 	Состояние неба в общем не изменилось. 	20.2
20140812	rain	Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. 	Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. 	19.1
20140811		 	 	28.0
20140810		 	 	25.6
20140809		 	 	26.0
20140808		Состояние неба в общем не изменилось. 	Состояние неба в общем не изменилось. 	23.4
20140807		 	 	30.0
20140806		 	 	29.3
20140805		 	 	30.1
20140804		 	 	29.2
20140803		 	 	29.0
20140802		 	 	24.8
20140801	rain	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	Дождь незамерзающий непрерывный слабый в срок наблюдения. 	26.0
20140731		 	 	32.4
20140730		 	 	28.2
20140729		 	 	28.0
20140728		 	 	30.2
20140727		 	 	30.6
20140726		 	 	29.6
20140725		 	 	26.3
20140724		 	 	26.7
20140723		 	 	25.4
20140722		 	 	25.2
20140721		 	 	24.6
20140720		 	 	26.8
20140719		 	 	25.0
20140718		 	 	25.5
20140717		 	 	22.7
20140716		 	 	24.1
20140715		 	 	26.7
20140714		 	 	27.1
20140713		 	 	28.7
20140712		 	 	24.0
20140711		 	 	19.2
20140710		 	 	14.8
20140709		 	 	25.4
20140708		 	 	27.2
20140707		 	 	26.6
20140706		 	 	23.9
20140705		 	 	19.8
20140704	rain	Дождь незамерзающий с перерывами слабый в срок наблюдения. 	Дождь незамерзающий с перерывами слабый в срок наблюдения. 	15.8
20140703	rain	Ливневый(ые) дождь(и). 	Ливневый(ые) дождь(и). 	17.7
